task,policy,control,target_policy_mean_cost,analytic_mean_quality,analytic_mean_cost,analytic_mean_utility,cost_match_error,delta_policy_vs_control,route_probabilities,mc_draws,mc_mean_cost,mc_sd_cost,mc_mean_utility,mc_sd_utility
structured_v2,arr_seed_2,maximum_entropy_route_independent_expected_cost_match,0.29280500000000004,0.8359235355577116,0.29280500000000054,0.8124991355577116,4.996003610813204e-16,0.05966712851127509,"{""ce"": 0.11460456606837433, ""full_context"": 0.16477416527591102, ""one_hop"": 0.23476542644875373, ""summary"": 0.2714619841242942, ""two_hop"": 0.21439385808266676}",1000,0.29254769999999997,0.006906564655843405,0.8124543740409906,0.0037328962439954145
structured_v2,arr_seed_3,maximum_entropy_route_independent_expected_cost_match,0.270395,0.8365423093964743,0.270395000000001,0.8149107093964743,9.992007221626409e-16,0.06512648524446718,"{""ce"": 0.09595308738024638, ""full_context"": 0.1534265919951321, ""one_hop"": 0.24246345055124432, ""summary"": 0.2925384496762807, ""two_hop"": 0.21561842039709656}",1000,0.270525575,0.00639390657076021,0.8147009161079042,0.0035701292666787897
structured_v2,arr_seed_4,maximum_entropy_route_independent_expected_cost_match,0.250045,0.836978801702359,0.25004500000000107,0.816975201702359,1.0547118733938987e-15,0.055372617532476576,"{""ce"": 0.07998109738228594, ""full_context"": 0.1421254733857864, ""one_hop"": 0.2489512869702821, ""summary"": 0.3133200606870229, ""two_hop"": 0.2156220815746226}",1000,0.25024445500000003,0.006065216684621114,0.817074965536138,0.0035238103110860194
structured_v2,arr_seed_5,maximum_entropy_route_independent_expected_cost_match,0.32865,0.8347360675582037,0.3286499999999998,0.8084440675582037,-2.220446049250313e-16,0.043967295715069965,"{""ce"": 0.1464889780593305, ""full_context"": 0.1806446534608743, ""one_hop"": 0.22160000773345603, ""summary"": 0.24097824458171574, ""two_hop"": 0.21028811616462334}",1000,0.32891319999999996,0.006975950637533018,0.8084385621276194,0.0037600571833114205
musique,qpp,maximum_entropy_route_independent_expected_cost_match,0.2587596903039537,0.49918166185722435,0.2587596903039537,0.478480886632908,0.0,0.025765192522754776,"{""V0"": 0.2850090288236751, ""V1"": 0.2817305971113751, ""V2"": 0.25154566435250986, ""V3"": 0.18171470971243991}",1000,0.2589465111394776,0.007557954343397084,0.4784516040893202,0.0032779238508043973
musique,native_adaptive,maximum_entropy_route_independent_expected_cost_match,0.16470170666472253,0.49763223562787223,0.16470170666472259,0.4844560990946945,5.551115123125783e-17,0.03495011510290186,"{""V0"": 0.3421732617051309, ""V1"": 0.3306771328458023, ""V2"": 0.23660512869623682, ""V3"": 0.09054447675283014}",1000,0.1646798808475693,0.005852053881855158,0.484422452576738,0.003020678950244136
musique,arr_seed_1,maximum_entropy_route_independent_expected_cost_match,0.2267163472262767,0.4987637441461041,0.22671634722627676,0.48062643636800195,5.551115123125783e-17,0.031185017468365328,"{""V0"": 0.3031231242615361, ""V1"": 0.2976847029457472, ""V2"": 0.249310726440349, ""V3"": 0.1498814463523677}",1000,0.2260818740738318,0.006880278134028563,0.4807846098642683,0.0033224773296808927
musique,arr_seed_2,maximum_entropy_route_independent_expected_cost_match,0.33365245205879324,0.49987447284707426,0.3336524520587933,0.4731822766823708,5.551115123125783e-17,0.020441033435900702,"{""V0"": 0.24610140889284088, ""V1"": 0.24640315562936962, ""V2"": 0.24937846819134737, ""V3"": 0.2581169672864422}",1000,0.3339123733262784,0.007989777278465693,0.47320973143609435,0.0033961712417068003
musique,arr_seed_3,maximum_entropy_route_independent_expected_cost_match,0.25166083136292816,0.49909657068743857,0.2516608313629281,0.4789637041784043,-5.551115123125783e-17,0.02555690851268233,"{""V0"": 0.28893069086506346, ""V1"": 0.2852142648149385, ""V2"": 0.25124542836635483, ""V3"": 0.17460961595364313}",1000,0.25210089010446485,0.00748518002375279,0.47880945522898216,0.003276223880132119
musique,arr_seed_4,maximum_entropy_route_independent_expected_cost_match,0.41703468191188525,0.5003159065643537,0.4170346819118852,0.4669531320114028,-5.551115123125783e-17,0.01782710487067546,"{""V0"": 0.206691147636356, ""V1"": 0.20943903109758846, ""V2"": 0.23836396123549164, ""V3"": 0.3455058600305639}",1000,0.41700779059724163,0.008831665544892325,0.46717037985311005,0.0034349011808630496
musique,arr_seed_5,maximum_entropy_route_independent_expected_cost_match,0.24701240152847326,0.49903866006206443,0.2470124015284733,0.47927766793978654,5.551115123125783e-17,0.01622644748451929,"{""V0"": 0.2915252800636365, ""V1"": 0.28751036406950836, ""V2"": 0.25099181529096865, ""V3"": 0.1699725405758865}",1000,0.24728907977072107,0.007571664501423676,0.47917109807756597,0.003357127566590695
